Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/files/add/100000KB?id=0,49,0,4,4.553344265350832,2.114277000146103,17.254211000363284,21.0,3.2995740578638926,0.0,4,4,5,5,6,7,17,17,17,17,17
GET,/files/add/100000KB?id=1,49,0,2,2.6833703877298607,1.738609000312863,11.885001999871747,21.0,3.2995740578638926,0.0,2,3,3,3,4,4,12,12,12,12,12
GET,/files/add/100000KB?id=10,49,0,2,2.3706725713945698,1.6238869993685512,4.649835999771312,22.0,3.2995740578638926,0.0,2,3,3,3,4,4,5,5,5,5,5
GET,/files/add/100000KB?id=11,49,0,2,2.453606571421284,1.6439069995612954,5.133762999321334,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=12,49,0,2,2.434737510101309,1.7470820002927212,5.45169400083978,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=13,49,0,2,2.4412189183136914,1.7108730007748818,5.401688000347349,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=14,49,0,2,2.4389117959391133,1.7082189997381647,5.251220999525685,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=15,49,0,2,2.3889039591768797,1.595431000168901,5.380656999477651,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=16,49,0,2,2.3755772652627773,1.6495919999215403,5.035969999880763,22.0,3.2995740578638926,0.0,2,3,3,3,3,3,5,5,5,5,5
GET,/files/add/100000KB?id=17,49,0,2,2.3521942653040204,1.5639939992979635,4.502796999986458,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=18,49,0,2,2.4031706735532143,1.6564970001127222,6.230288000551809,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,6,6,6,6,6
GET,/files/add/100000KB?id=19,49,0,2,2.331410367462792,1.5881440003795433,4.214787999444525,22.0,3.2995740578638926,0.0,2,3,3,3,3,3,4,4,4,4,4
GET,/files/add/100000KB?id=2,49,0,2,2.5064997346872793,1.6946690002441755,4.643795000447426,21.0,3.2995740578638926,0.0,2,3,3,3,4,5,5,5,5,5,5
GET,/files/add/100000KB?id=20,49,0,2,2.3690382040884437,1.622773000235611,5.330502999640885,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=21,49,0,2,2.3651362448153845,1.6634969997539883,5.0358899998173,22.0,3.2995740578638926,0.0,2,3,3,3,3,3,5,5,5,5,5
GET,/files/add/100000KB?id=22,49,0,2,2.4048246734903898,1.6059489998951904,5.624612000246998,22.0,3.2995740578638926,0.0,2,3,3,3,3,5,6,6,6,6,6
GET,/files/add/100000KB?id=23,49,0,2,2.2442449386958008,1.5893800000412739,3.6805630006711,22.0,3.2995740578638926,0.0,2,3,3,3,3,3,4,4,4,4,4
GET,/files/add/100000KB?id=24,49,0,2,2.3359166939278984,1.6025310005716165,5.062686999735888,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=25,49,0,2,2.2742639796201636,1.5884920003372827,3.5030910003115423,22.0,3.2995740578638926,0.0,2,3,3,3,3,3,4,4,4,4,4
GET,/files/add/100000KB?id=26,49,0,2,2.310674653221658,1.623156999812636,4.996159000256739,22.0,3.2995740578638926,0.0,2,3,3,3,3,3,5,5,5,5,5
GET,/files/add/100000KB?id=27,49,0,2,2.365239163328643,1.6077659993243287,4.540596999504487,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=28,49,0,2,2.35364773454087,1.5941920000841492,4.784470000231522,22.0,3.2995740578638926,0.0,2,3,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=29,49,0,2,2.2913059387881693,1.6203260001930175,4.5235359993966995,22.0,3.2995740578638926,0.0,2,2,3,3,3,3,5,5,5,5,5
GET,/files/add/100000KB?id=3,49,0,3,2.5131060611988225,1.663525999902049,5.927273999986937,21.0,3.2995740578638926,0.0,3,3,3,3,3,4,6,6,6,6,6
GET,/files/add/100000KB?id=30,49,0,2,2.3082404285356013,1.5763609999339678,4.576338000333635,22.0,3.2995740578638926,0.0,2,2,3,3,3,4,5,5,5,5,5
GET,/files/add/100000KB?id=31,49,0,2,2.31507561216413,1.5934699995341362,5.451809000078356,22.0,3.2995740578638926,0.0,2,2,3,3,3,3,5,5,5,5,5
GET,/files/add/100000KB?id=32,49,0,2,2.277084714348478,1.607584000339557,4.475861000173609,22.0,3.2995740578638926,0.0,2,2,3,3,4,4,4,4,4,4,4
